Unnamed: 0,Class
sample_4,BRCA
sample_6,KIRC
sample_8,BRCA
sample_10,BRCA
sample_11,KIRC
sample_13,BRCA
sample_14,BRCA
sample_17,KIRC
sample_18,KIRC
sample_20,BRCA
sample_21,KIRC
sample_23,BRCA
sample_24,KIRC
sample_27,BRCA
sample_29,BRCA
sample_30,BRCA
sample_31,BRCA
sample_32,KIRC
sample_33,BRCA
sample_36,KIRC
sample_38,BRCA
sample_40,KIRC
sample_43,KIRC
sample_44,KIRC
sample_45,BRCA
sample_48,BRCA
sample_50,BRCA
sample_52,BRCA
sample_56,BRCA
sample_59,BRCA
sample_62,BRCA
sample_66,BRCA
sample_68,KIRC
sample_69,BRCA
sample_70,KIRC
sample_71,BRCA
sample_72,BRCA
sample_74,BRCA
sample_76,BRCA
sample_77,KIRC
sample_80,BRCA
sample_86,BRCA
sample_87,BRCA
sample_88,KIRC
sample_89,BRCA
sample_92,BRCA
sample_94,BRCA
sample_97,BRCA
sample_99,BRCA
sample_100,BRCA
sample_102,BRCA
sample_103,KIRC
sample_111,BRCA
sample_114,BRCA
sample_116,KIRC
sample_117,KIRC
sample_119,BRCA
sample_127,BRCA
sample_131,BRCA
sample_134,BRCA
sample_135,KIRC
sample_138,KIRC
sample_143,KIRC
sample_152,BRCA
sample_153,BRCA
sample_155,BRCA
sample_156,BRCA
sample_162,KIRC
sample_163,BRCA
sample_167,KIRC
sample_169,BRCA
sample_170,KIRC
sample_174,BRCA
sample_175,BRCA
sample_176,BRCA
sample_178,BRCA
sample_179,KIRC
sample_181,KIRC
sample_182,BRCA
sample_188,BRCA
sample_191,KIRC
sample_195,BRCA
sample_196,BRCA
sample_197,BRCA
sample_200,BRCA
sample_202,KIRC
sample_203,KIRC
sample_204,KIRC
sample_206,BRCA
sample_208,BRCA
sample_211,BRCA
sample_216,BRCA
sample_217,BRCA
sample_219,BRCA
sample_220,KIRC
sample_222,KIRC
sample_223,KIRC
sample_225,BRCA
sample_226,KIRC
sample_228,BRCA
sample_233,BRCA
sample_236,KIRC
sample_239,KIRC
sample_240,KIRC
sample_246,KIRC
sample_247,BRCA
sample_248,BRCA
sample_250,BRCA
sample_253,BRCA
sample_255,KIRC
sample_259,BRCA
sample_268,BRCA
sample_270,KIRC
sample_271,BRCA
sample_274,KIRC
sample_279,BRCA
sample_281,BRCA
sample_282,BRCA
sample_285,BRCA
sample_286,BRCA
sample_287,BRCA
sample_288,KIRC
sample_289,KIRC
sample_290,KIRC
sample_292,BRCA
sample_293,BRCA
sample_295,KIRC
sample_297,BRCA
sample_300,BRCA
sample_301,BRCA
sample_306,BRCA
sample_307,BRCA
sample_309,BRCA
sample_311,BRCA
sample_316,KIRC
sample_317,BRCA
sample_318,KIRC
sample_319,KIRC
sample_322,KIRC
sample_323,BRCA
sample_324,BRCA
sample_326,BRCA
sample_327,KIRC
sample_328,BRCA
sample_329,BRCA
sample_331,BRCA
sample_332,KIRC
sample_333,BRCA
sample_336,KIRC
sample_337,BRCA
sample_340,BRCA
sample_341,BRCA
sample_342,BRCA
sample_346,BRCA
sample_347,BRCA
sample_350,BRCA
sample_351,KIRC
sample_356,BRCA
sample_357,KIRC
sample_358,BRCA
sample_359,BRCA
sample_360,BRCA
sample_364,KIRC
sample_366,KIRC
sample_367,BRCA
sample_368,BRCA
sample_369,KIRC
sample_370,BRCA
sample_375,BRCA
sample_376,KIRC
sample_380,KIRC
sample_381,KIRC
sample_386,BRCA
sample_388,KIRC
sample_389,BRCA
sample_391,BRCA
sample_392,BRCA
sample_393,BRCA
sample_396,KIRC
